ags,70274744,9743,2343,-1126,-34,-159,300
ags,70274754,9724,2299,-1077,-71,-159,306
ags,70274764,9738,2333,-1087,-101,-135,324
ags,70274774,9758,2284,-1185,-89,-105,404
ags,70274784,9841,2260,-1189,-95,-208,513
ags,70274794,9787,2314,-1150,-77,-159,501
ags,70274804,9904,2274,-1141,-77,108,446
ags,70274814,9948,2362,-1194,-114,-348,385
ags,70274824,9997,2348,-1233,-126,47,367
ags,70274834,10065,2323,-1229,-120,108,337
ags,70274844,10041,2255,-1150,-120,-226,324
ags,70274854,10017,2304,-1229,-138,297,269
ags,70274864,9982,2235,-1243,-132,-32,227
ags,70274874,9929,2245,-1204,-138,-87,166
ags,70274884,9895,2250,-1082,-156,71,123
ags,70274894,9899,2318,-1189,-156,35,32
ags,70274904,9826,2265,-1277,-162,41,-23
ags,70274914,9880,2265,-1185,-162,35,-78
ags,70274924,9963,2270,-1233,-193,41,-108
ags,70274934,9885,2299,-1248,-175,84,-150
ags,70274944,9904,2260,-1214,-187,71,-144
ags,70274954,9807,2309,-1185,-175,90,-162
ags,70274964,9714,2289,-1180,-162,77,-187
ags,70274974,9748,2299,-1277,-169,90,-266
ags,70274984,9724,2279,-1253,-162,90,-297
ags,70274994,9709,2343,-1243,-175,77,-321
ags,70275004,9602,2260,-1214,-169,77,-352
ags,70275014,9655,2250,-1307,-150,65,-419
ags,70275024,9670,2250,-1180,-162,71,-412
ags,70275034,9709,2309,-1258,-144,59,-412
ags,70275044,9753,2279,-1263,-132,77,-388
ags,70275054,9694,2328,-1258,-144,65,-358
ags,70275064,9724,2323,-1175,-144,77,-327
ags,70275074,9729,2299,-1229,-138,90,-278
ags,70275084,9680,2255,-1087,-132,90,-156
ags,70275094,9641,2226,-1194,-114,96,-78
ags,70275104,9685,2240,-1043,-114,102,38
ags,70275114,9670,2250,-1146,-120,120,129
ags,70275124,9680,2191,-1023,-132,108,239
ags,70275134,9572,2177,-975,-71,114,318
ags,70275144,9480,2118,-1053,-71,120,337
ags,70275154,9406,2133,-936,-95,96,330
ags,70275164,9367,2035,-897,-89,59,294
ags,70275174,9328,1967,-1038,-95,53,239
ags,70275184,8967,1850,-980,-108,71,123
