ags,46307668,9792,1830,-486,68,-87,-102
ags,46307678,9753,1855,-506,44,-69,-96
ags,46307688,9782,1957,-462,-16,-81,-96
ags,46307698,9719,1816,-545,-77,-69,-72
ags,46307708,9685,1801,-594,-59,10,-120
ags,46307718,9733,1874,-574,-22,163,-114
ags,46307728,9743,1723,-628,2,-202,-132
ags,46307738,9743,1757,-496,50,-165,-150
ags,46307748,9768,1811,-525,117,230,-169
ags,46307758,9763,1874,-496,117,138,-175
ags,46307768,9670,1801,-477,62,-208,-175
ags,46307778,9685,1840,-501,135,-32,-211
ags,46307788,9660,1899,-594,117,266,-169
ags,46307798,9826,1952,-560,135,-8,-169
ags,46307808,9743,1986,-369,93,-14,-187
ags,46307818,9768,1923,-413,-4,16,-169
ags,46307828,9821,1874,-467,-40,10,-162
ags,46307838,9719,1874,-535,-34,4,-156
ags,46307848,9665,2016,-496,26,-8,-156
ags,46307858,9694,1933,-491,26,4,-138
ags,46307868,9812,1933,-584,-28,10,-114
ags,46307878,9748,1947,-516,-71,4,-96
ags,46307888,9733,2016,-364,-89,-2,-66
ags,46307898,9592,2065,-467,-101,-20,-35
ags,46307908,9748,2060,-447,-120,-45,-5
ags,46307918,9802,1933,-521,-83,-63,7
ags,46307928,9768,1884,-525,-77,-32,44
ags,46307938,9777,1923,-545,-108,-51,50
ags,46307948,9748,1903,-511,-156,-57,50
ags,46307958,9753,1894,-472,-175,-51,62
ags,46307968,9729,1767,-633,-169,-57,7
ags,46307978,9724,1899,-623,-162,-45,13
ags,46307988,9738,1855,-613,-181,-8,7
ags,46307998,9807,1781,-506,-162,35,-17
ags,46308008,9729,1742,-467,-114,29,-60
ags,46308018,9743,1825,-506,-22,65,-96
ags,46308028,9699,1923,-472,-4,53,-114
ags,46308038,9699,1830,-408,-10,71,-138
ags,46308048,9699,1889,-467,-28,53,-138
ags,46308058,9694,1967,-452,-47,53,-162
ags,46308068,9782,1928,-442,-22,35,-156
ags,46308078,9719,2006,-491,-28,53,-126
ags,46308088,9753,1972,-623,-47,47,-138
ags,46308098,9694,2060,-389,-101,29,-114
ags,46308108,9719,1952,-418,-144,10,-84
ags,46308118,9660,1923,-462,-138,-20,-72
ags,46308128,9685,1781,-433,-101,-14,-78
ags,46308138,9777,1933,-438,-34,-8,-84
ags,46308148,9709,1982,-452,-47,-14,-72
ags,46308158,9748,1845,-472,-34,4,-90
ags,46308168,9753,1957,-467,-4,23,-102
ags,46308178,9768,1986,-462,-59,-2,-72
ags,46308188,9709,1879,-408,-40,4,-120
ags,46308198,9626,1874,-418,14,10,-114
ags,46308208,9704,1986,-384,20,16,-144
ags,46308218,9694,2045,-394,2,-26,-120
ags,46308228,9689,1996,-472,-34,-20,-96
ags,46308238,9719,1967,-408,-40,-32,-90
ags,46308248,9821,1986,-486,-59,-20,-90
ags,46308258,9714,1894,-628,-71,-14,-114
ags,46308268,9753,1962,-560,-101,-20,-120
ags,46308278,9704,1772,-467,-77,-32,-144
ags,46308288,9733,1786,-433,-4,16,-150
ags,46308298,9738,1918,-550,14,41,-193
ags,46308308,9685,1874,-486,14,53,-193
ags,46308318,9758,1957,-438,26,35,-193
ags,46308328,9704,2108,-447,-4,59,-199
ags,46308338,9724,1991,-433,-71,23,-187
ags,46308348,9816,1967,-438,-53,41,-175
ags,46308358,9855,2045,-438,-28,23,-126
ags,46308368,9724,2108,-457,-101,-2,-102
ags,46308378,9689,1986,-398,-114,-32,-102
ags,46308388,9636,1957,-364,-156,23,-108
ags,46308398,9655,1918,-438,-83,4,-102
ags,46308408,9670,1972,-403,-47,47,-120
ags,46308418,9738,2045,-345,-83,23,-96
ags,46308428,9699,2040,-213,-89,10,-102
ags,46308438,9699,1972,-423,-83,-2,-114
ags,46308448,9699,2035,-491,-65,-8,-96
ags,46308458,9680,1859,-569,-108,10,-96
ags,46308468,9743,1962,-569,-101,23,-102
ags,46308478,9812,1938,-521,-144,35,-138
ags,46308488,9792,1874,-438,-108,65,-150
ags,46308498,9782,1938,-511,-10,96,-205
ags,46308508,9724,1903,-467,20,59,-217
ags,46308518,9650,2001,-364,26,96,-223
ags,46308528,9787,2187,-276,-10,77,-230
ags,46308538,9680,2065,-403,-47,102,-199
ags,46308548,9626,1903,-403,2,90,-205
ags,46308558,9665,1982,-355,99,77,-230
ags,46308568,9704,2006,-413,105,77,-230
ags,46308578,9758,2191,-462,141,35,-187
ags,46308588,9743,2172,-359,50,35,-156
ags,46308598,9719,2187,-262,-40,16,-114
ags,46308608,9699,2143,-423,-40,4,-72
ags,46308618,9606,2128,-477,-77,16,-48
ags,46308628,9670,2113,-481,-59,-2,-48
ags,46308638,9714,2025,-379,-47,-20,-54
ags,46308648,9641,1967,-428,-34,-2,-78
ags,46308658,9646,1982,-413,62,-8,-66
ags,46308668,9621,2030,-428,93,-32,-54
ags,46308678,9646,2079,-447,38,-26,-42
ags,46308688,9631,2079,-452,68,-20,-29
ags,46308698,9655,2021,-359,117,-8,-5
ags,46308708,9567,2084,-359,184,-14,7
ags,46308718,9655,2206,-237,141,-63,19
ags,46308728,9641,2123,-345,68,-81,68
ags,46308738,9602,2182,-296,87,-123,129
ags,46308748,9602,2182,-384,62,-135,178
ags,46308758,9523,2157,-218,87,-178,202
ags,46308768,9587,2065,-286,129,-184,257
ags,46308778,9587,2099,-242,166,-178,288
ags,46308788,9602,2191,-208,196,-220,324
ags,46308798,9626,2084,-369,135,-220,367
ags,46308808,9685,1938,-506,282,-208,361
ags,46308818,9738,2040,-672,318,-141,385
ags,46308828,9885,2177,-745,209,-153,428
ags,46308838,9992,2016,-613,68,-135,422
ags,46308848,9924,1855,-599,87,-87,440
ags,46308858,9885,2069,-579,166,-57,440
ags,46308868,9851,2079,-506,56,-57,489
ags,46308878,9675,1967,-516,32,-38,483
ags,46308888,9670,2216,-481,-34,-32,526
ags,46308898,9802,2001,-623,-181,23,526
ags,46308908,9758,1947,-618,-217,29,538
ags,46308918,9841,2065,-608,-230,77,532
ags,46308928,9772,1840,-560,-333,120,574
ags,46308938,9792,1967,-618,-297,157,568
ags,46308948,9899,2060,-701,-309,193,611
ags,46308958,9768,1947,-677,-437,260,641
ags,46308968,9802,1708,-604,-473,346,611
ags,46308978,9909,1669,-662,-370,401,556
ags,46308988,9870,1796,-652,-339,510,495
ags,46308998,9831,1742,-608,-412,626,465
ags,46309008,9836,1728,-774,-455,663,416
ags,46309018,9880,1640,-833,-540,809,385
ags,46309028,9870,1708,-643,-486,913,318
ags,46309038,9997,1747,-779,-571,1016,251
ags,46309048,9885,1723,-731,-870,1120,190
ags,46309058,9870,1527,-604,-870,1279,99
ags,46309068,9802,1542,-789,-900,1431,-48
ags,46309078,9855,1523,-853,-1065,1571,-187
ags,46309088,10026,1322,-770,-1351,1803,-388
ags,46309098,10217,1264,-1146,-1522,1998,-632
ags,46309108,10441,1191,-1292,-1760,2352,-925
ags,46309118,10539,741,-1419,-1797,2681,-1272
ags,46309128,10700,736,-1614,-1845,3169,-1656
ags,46309138,10637,502,-1629,-1943,3620,-2120
ags,46309148,10451,380,-1814,-1766,4138,-2577
