ags,70022573,9860,-288,-589,2,16,556
ags,70022583,9934,-322,-677,-4,16,507
ags,70022593,10002,-308,-643,-4,-14,404
ags,70022603,9997,-327,-672,2,-8,324
ags,70022613,10036,-351,-779,-4,-129,276
ags,70022623,10090,-347,-711,8,205,245
ags,70022633,10119,-361,-623,-10,16,221
ags,70022643,10061,-430,-672,-4,-178,227
ags,70022653,9992,-430,-809,8,266,239
ags,70022663,9943,-386,-731,8,-202,251
ags,70022673,10051,-366,-696,2,-105,227
ags,70022683,10080,-376,-774,2,175,196
ags,70022693,10109,-493,-760,14,-300,184
ags,70022703,10070,-381,-750,26,84,148
ags,70022713,10051,-347,-823,8,16,123
ags,70022723,9924,-347,-657,8,-20,56
ags,70022733,9792,-386,-638,8,-20,-54
ags,70022743,9748,-332,-701,-22,-32,-108
ags,70022753,9772,-381,-716,2,-69,-169
ags,70022763,9855,-347,-706,-16,-75,-181
ags,70022773,9895,-366,-691,-28,-63,-181
ags,70022783,9992,-337,-735,-4,-57,-175
ags,70022793,9992,-327,-701,-10,-38,-132
ags,70022803,10051,-351,-760,2,-38,-84
ags,70022813,10109,-430,-706,-16,-45,-48
ags,70022823,10105,-376,-701,-16,-26,7
ags,70022833,9978,-469,-672,-10,-20,26
ags,70022843,9958,-425,-833,-22,-32,26
ags,70022853,9982,-454,-745,-4,-32,68
ags,70022863,9948,-434,-755,-10,-57,80
ags,70022873,9938,-459,-706,-22,-69,62
ags,70022883,9870,-449,-745,-34,-51,44
ags,70022893,9855,-371,-740,-16,-63,-42
ags,70022903,9870,-381,-726,-16,-99,-126
ags,70022913,9899,-415,-613,-4,-111,-211
ags,70022923,9855,-400,-682,-10,-135,-260
ags,70022933,10007,-449,-662,-4,-147,-303
ags,70022943,10070,-434,-726,-34,-153,-297
ags,70022953,10163,-483,-774,-16,-123,-266
ags,70022963,10246,-493,-740,-28,-105,-169
ags,70022973,10266,-552,-740,-22,-105,-42
ags,70022983,10202,-576,-726,-28,-87,74
ags,70022993,10144,-571,-579,-40,-75,196
ags,70023003,10021,-503,-667,-10,-81,276
ags,70023013,10021,-561,-784,-4,-57,343
ags,70023023,9934,-596,-721,-10,-57,410
ags,70023033,9875,-635,-633,-16,-75,465
ags,70023043,9860,-693,-584,2,-51,489
ags,70023053,9802,-684,-643,-4,-69,532
ags,70023063,9670,-703,-667,-10,-93,513
ags,70023073,9611,-850,-677,-10,-99,452
ags,70023083,9606,-757,-584,-4,-123,318
ags,70023093,9563,-801,-584,-28,-153,141
ags,70023103,9426,-850,-589,-28,-190,-5
ags,70023113,9460,-874,-618,-34,-226,-187
ags,70023123,9480,-830,-496,-16,-281,-315
ags,70023133,9519,-908,-599,-28,-300,-394
ags,70023143,9543,-957,-555,-28,-300,-437
ags,70023153,9587,-1025,-501,-28,-312,-431
ags,70023163,9611,-1055,-521,-16,-324,-370
ags,70023173,9685,-981,-467,-28,-318,-291
ags,70023183,9646,-962,-506,-34,-300,-193
ags,70023193,9533,-1064,-398,-34,-269,-108
ags,70023203,9396,-1128,-540,-47,-275,-11
ags,70023213,9265,-1157,-594,-65,-245,80
ags,70023223,9177,-1138,-359,-65,-245,160
ags,70023233,9074,-1265,-364,-83,-257,239
ags,70023243,9040,-1348,-384,-71,-245,312
ags,70023253,8781,-1318,-398,-59,-269,233
ags,70023263,8815,-1372,-306,-95,-287,-17
ags,70023273,8688,-1470,-315,-126,-336,-327
ags,70023283,8283,-1401,-179,-101,-361,-833
ags,70023293,7927,-1387,-345,-95,-348,-1333
ags,70023303,7229,-1352,-511,-193,-342,-1516
ags,70023313,6003,-1250,-169,-89,-355,-1791
ags,70023323,5148,-1172,-335,-138,-428,-2169
ags,70023333,4226,-976,-257,-138,-525,-2675
ags,70023343,3698,-581,-428,-144,-696,-3272
ags,70023353,3557,-166,-516,-89,-885,-3949
ags,70023363,3757,566,-545,-150,-1007,-4626
ags,70023373,4240,1112,-511,-181,-1190,-5388
ags,70023383,5134,1728,-550,-248,-1141,-6175
ags,70023393,6540,2494,187,-290,-1050,-6809
ags,70023403,8601,1313,-1473,-260,-726,-6919
ags,70023413,9328,1210,-1014,-455,-958,-6364
ags,70023423,8977,800,-394,-333,-733,-5662
ags,70023433,9313,468,-394,-321,-617,-4699
ags,70023443,8962,107,-765,-315,-409,-3608
ags,70023453,8757,24,-608,-230,-257,-2522
ags,70023463,8400,370,-657,-193,-135,-1534
ags,70023473,8688,858,-716,-193,-14,-602
ags,70023483,8879,1200,-882,-193,151,129
ags,70023493,9162,1557,-1077,-181,254,593
ags,70023503,9006,1557,-1097,-187,260,757
ags,70023513,9118,1635,-628,-59,352,526
ags,70023523,8771,1557,-1033,-138,327,202
ags,70023533,8767,1073,-1072,-272,327,148
ags,70023543,8684,468,-1111,-132,266,330
ags,70023553,8581,526,-980,-89,187,391
ags,70023563,8723,478,-1189,-22,71,178
ags,70023573,9245,741,-1087,-40,90,-297
ags,70023583,9602,815,-1536,-16,-63,-736
ags,70023593,9777,1122,-1331,-34,-105,-1345
ags,70023603,9836,1020,-1678,-114,-226,-1827
ags,70023613,9748,1171,-1321,-59,-214,-2382
ags,70023623,9455,1088,-1551,-101,-324,-2906
ags,70023633,9812,1166,-1292,-236,-342,-3144
ags,70023643,9636,1176,-311,-83,-428,-3053
ags,70023653,9480,868,-2498,-47,-519,-2961
ags,70023663,9704,1518,-755,-223,-483,-3028
ags,70023673,10026,1781,-530,-65,-348,-2742
ags,70023683,9836,1142,-1595,-175,-263,-2272
ags,70023693,9318,1313,-1033,-169,-330,-2181
ags,70023703,9128,1483,-999,-138,-397,-2169
ags,70023713,9143,1430,-1111,-181,-415,-2248
