XACC_mean,XACC_var,YACC_mean,YACC_var,ZACC_mean,ZACC_var,XAX_mean,XAX_var,YAX_mean,YAX_var,ZAX_mean,ZAX_var,output
1906857.3898253257,1906857.3898253257,-1087.7222222222222,692640.8513931888,2901.1111111111113,13797685.003095975,9.38888888888889,1346191.0866873064,9.38888888888889,1346191.0866873064,13.12037037037037,265523.01023391815,1
2250662.07231399,2250662.07231399,-1132.9436997319035,540119.0371443396,2608.9490616621983,14817466.559226267,-18.53887399463807,1961967.7652858256,-18.53887399463807,1961967.7652858256,-3.8981233243967828,320004.05948571593,1
2482936.543979695,2482936.543979695,-1076.6286549707602,531905.4658040508,2978.2982456140353,15502018.192313628,163.01461988304092,2083985.5100495615,163.01461988304092,2083985.5100495615,-8.409356725146198,399302.2776834559,1
2401721.906164282,2401721.906164282,-998.3495440729483,973626.0939098524,3204.8115501519756,13798829.76925643,130.6079027355623,1645106.7024983321,130.6079027355623,1645106.7024983321,-3.370820668693009,450267.130365483,1
2253063.0293948473,2253063.0293948473,-1019.1648351648352,1038534.3639390912,3358.728021978022,12981576.655851722,119.11813186813187,2222728.407494021,119.11813186813187,2222728.407494021,-51.612637362637365,440787.7365891684,1
2347987.5262163114,2347987.5262163114,-1147.6602209944751,582834.8509894247,3136.8756906077347,13694341.178410187,51.01657458563536,1489934.4595583172,51.01657458563536,1489934.4595583172,30.972375690607734,315745.4341378308,1
2265675.1134262867,2265675.1134262867,-1117.8931297709923,640402.3712026796,2989.470737913486,13700215.683452772,132.76844783715012,1757059.5610427377,132.76844783715012,1757059.5610427377,30.776081424936386,415986.5721815444,1
2022767.562472944,2022767.562472944,-1181.4051948051947,627890.7937229438,2543.368831168831,15035007.040692642,98.14025974025974,1065357.5167343074,98.14025974025974,1065357.5167343074,2.81038961038961,264225.5811417749,1
2021654.331085703,2021654.331085703,-1034.8232189973614,426644.4951208276,3113.387862796834,12570636.851809971,123.05804749340369,793548.769108347,123.05804749340369,793548.769108347,17.601583113456464,387368.467828175,1
2180368.0983654815,2180368.0983654815,-989.0973451327434,544973.9771991444,2691.4491150442477,12346481.436429368,96.39823008849558,1775012.4530345546,96.39823008849558,1775012.4530345546,-12.280973451327434,302833.9319653474,1
2230117.1949644224,2230117.1949644224,-1099.1256157635469,438621.3693669038,2881.6847290640394,13193286.83369215,53.73645320197044,1207681.6958036856,53.73645320197044,1207681.6958036856,-30.428571428571427,438104.55167548504,1
3288716.628642038,3288716.628642038,-958.4797687861271,1273837.589444584,3263.0057803468208,12626999.965183882,50.809248554913296,2437969.922928709,50.809248554913296,2437969.922928709,8.34393063583815,478537.18861522985,1
2410924.1879125945,2410924.1879125945,-1150.3163538873994,635536.0340597886,2675.7453083109917,13891318.287108306,68.93029490616622,1464783.7585689987,68.93029490616622,1464783.7585689987,-20.986595174262735,474105.5025079996,1
2651648.7237148266,2651648.7237148266,-1132.490909090909,568075.7818181819,2630.516883116883,14212018.073281927,39.84935064935065,1839887.664745671,39.84935064935065,1839887.664745671,19.25194805194805,497822.829586039,1
2520140.507572401,2520140.507572401,-1077.2106741573034,515372.91605475545,2712.6404494382023,14926685.999936698,87.79213483146067,2032290.5369520497,87.79213483146067,2032290.5369520497,-29.96067415730337,429564.49422376964,1
1963976.8189662206,1963976.8189662206,-1102.640625,418244.90445496084,2748.1901041666665,13414916.264027145,51.690104166666664,1052959.2326955502,51.690104166666664,1052959.2326955502,48.4140625,285818.2536920692,1
2496471.7071319297,2496471.7071319297,-1112.633423180593,531369.4003933853,2591.5687331536387,14396158.44593866,23.15633423180593,2278473.878196256,23.15633423180593,2278473.878196256,-73.1078167115903,545709.2856414367,1
2326111.7883655205,2326111.7883655205,-1073.2875647668393,606712.2729358723,2701.145077720207,13213356.160715967,183.6917098445596,2372927.4813336926,183.6917098445596,2372927.4813336926,-74.33937823834196,311934.85854922276,1
2806403.799094244,2806403.799094244,-1154.7431693989072,1133172.9530354068,2860.3224043715845,13446802.087551462,83.59016393442623,4146595.9685605206,83.59016393442623,4146595.9685605206,5.751366120218579,643692.5544501833,1
2529507.6795155588,2529507.6795155588,-1082.1889168765742,762277.9667455411,2303.901763224181,14246440.55345648,108.21158690176323,2518422.5914815664,108.21158690176323,2518422.5914815664,-2.6574307304785894,597603.6803297458,1
2644133.123951301,2644133.123951301,13.08366533864542,624290.14069073,2682.932270916335,8564457.863667088,142.4442231075697,1729621.0537689559,142.4442231075697,1729621.0537689559,-35.00199203187251,217270.36925750095,1
2078114.850872385,2078114.850872385,261.9063670411985,558583.2745184841,1865.2322097378278,10939012.309954956,-27.689138576779026,1286728.6386435344,-27.689138576779026,1286728.6386435344,-11.696629213483146,375013.3486940574,1
2802804.9836618057,2802804.9836618057,567.2736220472441,562229.990072062,2148.1515748031497,10740574.172246035,-2.7696850393700787,857136.6352133128,-2.7696850393700787,857136.6352133128,44.846456692913385,360673.85014521115,1
2037480.8705623543,2037480.8705623543,460.63517915309444,289351.52084849967,2598.182410423453,10634477.956884228,-77.5586319218241,803306.5862793651,-77.5586319218241,803306.5862793651,39.43811074918567,337110.2922483009,1
2226374.261286275,2226374.261286275,540.7626262626262,510092.491619398,2097.66835016835,9915633.24395444,-125.25252525252525,1236849.895651285,-125.25252525252525,1236849.895651285,3.0757575757575757,358827.8711482447,1
2334409.5204673978,2334409.5204673978,613.098615916955,346495.3958039736,1674.5536332179931,12262459.048245009,-53.25086505190311,673619.5886041032,-53.25086505190311,673619.5886041032,24.730103806228374,238916.77278369805,1
