ags,47153172,8981,3168,-2894,135,-537,-571
ags,47153182,8981,3075,-3074,373,-458,-687
ags,47153192,8820,3339,-3055,526,-458,-809
ags,47153202,8576,3378,-3353,629,-422,-912
ags,47153212,8444,3378,-3460,696,-470,-961
ags,47153222,8396,3651,-3680,507,-300,-943
ags,47153232,8791,3275,-3841,202,-415,-894
ags,47153242,8952,3383,-3777,-4,-897,-833
ags,47153252,9064,3515,-3299,-59,-781,-894
ags,47153262,9089,3388,-3030,8,-330,-949
ags,47153272,9084,3227,-2938,178,-458,-1065
ags,47153282,9011,3490,-3421,654,-800,-1132
ags,47153292,8737,3329,-3182,959,-684,-1205
ags,47153302,8571,3422,-3548,873,-294,-1358
ags,47153312,8361,3461,-3548,660,-586,-1449
ags,47153322,8493,3607,-3631,538,-605,-1516
ags,47153332,8562,3734,-3397,465,-574,-1547
ags,47153342,8576,3788,-3382,507,-568,-1522
ags,47153352,8571,3881,-3255,654,-507,-1510
ags,47153362,8557,3920,-3406,666,-470,-1486
ags,47153372,8581,3798,-3221,702,-495,-1492
ags,47153382,8820,3549,-3572,702,-574,-1504
ags,47153392,8811,3871,-3685,635,-684,-1510
ags,47153402,9460,3549,-3948,349,-794,-1455
ags,47153412,9377,3998,-3719,-71,-909,-1321
ags,47153422,9343,4023,-3587,-260,-879,-1278
ags,47153432,9719,3144,-3509,-309,-848,-1272
ags,47153442,9538,4076,-3602,-364,-751,-1266
ags,47153452,9211,4477,-3201,-1071,-848,-1138
ags,47153462,9147,4340,-3289,-1467,-922,-1071
ags,47153472,8967,3749,-3362,-1230,-794,-1144
ags,47153482,8620,3451,-3523,-632,-635,-1260
ags,47153492,8864,3803,-4202,-467,-397,-1284
ags,47153502,8742,4125,-4515,-510,-330,-1199
ags,47153512,9240,3388,-4910,-705,-147,-1077
ags,47153522,9499,3715,-4578,-833,-117,-925
ags,47153532,9533,3974,-3768,-827,-165,-943
ags,47153542,9353,3730,-3006,-906,-263,-1047
ags,47153552,9138,4027,-2537,-809,-306,-1187
ags,47153562,8957,4330,-2615,-656,-263,-1376
ags,47153572,8591,4369,-3191,-681,-245,-1437
ags,47153582,8591,4955,-3709,-845,-324,-1352
ags,47153592,8728,4862,-4207,-1242,-239,-1211
ags,47153602,8405,4135,-4329,-1443,-275,-1071
ags,47153612,8098,4399,-4139,-1614,-379,-1016
ags,47153622,8234,4174,-3685,-2053,-275,-1034
ags,47153632,8107,3832,-3480,-1510,-269,-1065
ags,47153642,7971,4252,-3064,-1071,-226,-1254
ags,47153652,7180,4174,-3074,-1242,-214,-1132
ags,47153662,7868,4648,-3348,-992,-178,-1156
ags,47153672,8557,4633,-3641,-559,4,-1260
ags,47153682,8386,5219,-3831,-620,-117,-1162
ags,47153692,8366,5356,-4192,-1412,-312,-1022
ags,47153702,8449,4604,-4588,-2150,-355,-937
ags,47153712,8488,3847,-4598,-2431,-385,-906
ags,47153722,8332,3656,-4432,-2321,-287,-1102
ags,47153732,7976,3915,-3943,-2236,-239,-1370
ags,47153742,7556,3666,-3914,-2425,-129,-1644
ags,47153752,7307,3783,-3992,-2614,-105,-1858
ags,47153762,7741,3319,-4022,-2498,-2,-2199
ags,47153772,8303,3197,-4026,-1937,114,-2473
ags,47153782,8396,4267,-3689,-1644,187,-2711
ags,47153792,8522,4853,-3211,-1851,151,-2827
ags,47153802,8381,4760,-2933,-1925,151,-2894
ags,47153812,8361,4740,-2855,-1723,224,-3022
ags,47153822,8137,5097,-2908,-1608,169,-3181
ags,47153832,7683,5214,-2928,-1870,-2,-3284
ags,47153842,7629,4521,-3104,-1955,-57,-3498
ags,47153852,7761,3988,-3538,-1589,187,-3791
ags,47153862,7731,4569,-3733,-1437,346,-4028
ags,47153872,8171,5180,-3665,-1797,285,-4108
