ags,69597639,10139,-976,-574,2,-93,-278
ags,69597649,10065,-1020,-618,-22,-87,-223
ags,69597659,10148,-1035,-574,2,-87,-181
ags,69597669,9987,-976,-701,-4,-69,-156
ags,69597679,9987,-976,-677,8,-14,-187
ags,69597689,10012,-1001,-662,8,-281,-211
ags,69597699,10012,-962,-652,-10,175,-284
ags,69597709,9929,-962,-667,-4,-20,-339
ags,69597719,9963,-957,-799,-4,-233,-370
ags,69597729,9890,-976,-657,-10,218,-412
ags,69597739,9943,-937,-701,-28,-190,-412
ags,69597749,9948,-981,-774,-22,-178,-382
ags,69597759,9899,-952,-745,-34,169,-358
ags,69597769,9938,-981,-677,-10,-318,-284
ags,69597779,9992,-908,-677,-22,-8,-199
ags,69597789,10002,-918,-716,-10,-2,-72
ags,69597799,10119,-898,-687,-16,10,44
ags,69597809,10105,-933,-721,-22,41,172
ags,69597819,10002,-928,-667,-22,53,245
ags,69597829,10012,-942,-594,2,59,306
ags,69597839,9992,-884,-608,-22,71,306
ags,69597849,9924,-996,-633,14,71,324
ags,69597859,10017,-996,-745,-34,84,337
ags,69597869,10046,-1016,-643,-28,71,343
ags,69597879,9997,-952,-613,-40,96,324
ags,69597889,10031,-1050,-696,-28,77,300
ags,69597899,10017,-976,-677,-22,65,288
ags,69597909,10119,-1050,-779,-16,84,276
ags,69597919,10046,-986,-779,-22,77,263
ags,69597929,10031,-1050,-701,-40,77,221
ags,69597939,9890,-1069,-774,-22,65,196
ags,69597949,9968,-952,-760,-34,59,123
ags,69597959,9987,-918,-784,-40,47,74
ags,69597969,10041,-947,-838,-47,41,26
ags,69597979,10168,-893,-799,-53,29,38
ags,69597989,10275,-933,-887,-28,41,50
ags,69597999,10354,-918,-706,-28,65,141
ags,69598009,10290,-918,-784,-65,71,221
ags,69598019,10124,-879,-721,-77,108,300
ags,69598029,9992,-928,-726,-71,96,330
ags,69598039,9792,-1020,-682,-71,84,294
ags,69598049,9670,-976,-691,-83,71,208
ags,69598059,9523,-976,-755,-71,53,56
ags,69598069,9431,-952,-633,-83,23,-114
ags,69598079,9480,-976,-745,-108,-14,-284
ags,69598089,9597,-933,-687,-95,-51,-425
ags,69598099,9611,-884,-726,-120,-51,-492
ags,69598109,9792,-869,-647,-120,-57,-455
ags,69598119,9797,-869,-716,-114,-51,-333
ags,69598129,9914,-845,-857,-108,-26,-181
ags,69598139,9992,-879,-814,-132,4,26
ags,69598149,10051,-801,-818,-108,16,233
ags,69598159,10056,-850,-848,-101,53,379
ags,69598169,9943,-854,-784,-120,53,458
ags,69598179,9963,-869,-804,-120,53,465
ags,69598189,10007,-898,-774,-132,35,373
ags,69598199,10036,-898,-857,-132,10,263
